service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MCOB-DO:111:6:Sunday:1:25SEP:1234567,0,0,0,0,0,0,1,20250907,20250907
MCOB-DO:111:6:Sunday:4:25SEP:1234567,0,0,0,0,0,0,1,20250914,20251207
MCOB-DO:121:0:Weekday:2:25SEP:12345,1,1,1,1,1,0,0,20250903,20250910
MCOB-DO:121:0:Weekday:4:25SEP:12345,1,1,1,1,1,0,0,20250911,20251212
MCOB-DO:171:5:Saturday:2:25SEP:6,0,0,0,0,0,1,0,20250906,20250906
MCOB-DO:171:5:Saturday:4:25SEP:6,0,0,0,0,0,1,0,20250913,20251206
KPOB-CS:211:6:Sunday:1:25SEP:1234567,0,0,0,0,0,0,1,20250907,20251207
KPOB-CS:221:1:Mon-Wed:1:25SEP:123,1,1,1,0,0,0,0,20250903,20251210
KPOB-CS:251:2:Thu-Fri:1:25SEP:45,0,0,0,1,1,0,0,20250904,20251212
KPOB-CS:271:5:Saturday:1:25SEP:6,0,0,0,0,0,1,0,20250906,20251206
