route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515712__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515713__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:132,1,1,E
240,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515714__MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,"Stanwood",0,MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,240:68,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515715__MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515716__MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515717__MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515718__MCOB-DO:111:6:Sunday:1:25SEP:31001:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31001:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515719__MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515720__MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515721__MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515722__MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515723__MCOB-DO:111:6:Sunday:1:25SEP:31001:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31001:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515724__MCOB-DO:111:6:Sunday:1:25SEP:31001:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31001:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515725__MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31003:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515726__MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,220:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515727__MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25SEP:31002:1234567,220:49,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515728__MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515729__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515730__MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515731__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515732__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515733__MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515734__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515735__MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,120:132,1,1,E
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515736__MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31004:1234567,120:131,1,1,W
120,MCOB-DO:111:6:Sunday:1:25SEP:1234567,13515737__MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25SEP:31005:1234567,120:131,1,1,W
